Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Qty,Variant Price,Variant Compare At Price
dummy-product-13,Dummy Product 13,<p>This is a description for Dummy Product 13.</p>,Vendor 1,Type 1,"tag13,sample",TRUE,Size,Small,SKU0013,53,35.01,108.08
dummy-product-14,Dummy Product 14,<p>This is a description for Dummy Product 14.</p>,Vendor 1,Type 1,"tag14,sample",TRUE,Size,Large,SKU0014,63,14.77,106.31
dummy-product-15,Dummy Product 15,<p>This is a description for Dummy Product 15.</p>,Vendor 1,Type 1,"tag15,sample",TRUE,Size,Small,SKU0015,81,7.35,111.56
dummy-product-16,Dummy Product 16,<p>This is a description for Dummy Product 16.</p>,Vendor 1,Type 1,"tag16,sample",TRUE,Size,Large,SKU0016,98,13.52,110.38
dummy-product-17,Dummy Product 17,<p>This is a description for Dummy Product 17.</p>,Vendor 1,Type 1,"tag17,sample",TRUE,Size,Small,SKU0017,80,72.15,112.49
dummy-product-18,Dummy Product 18,<p>This is a description for Dummy Product 18.</p>,Vendor 1,Type 1,"tag18,sample",TRUE,Size,Large,SKU0018,93,39.79,113.99
dummy-product-19,Dummy Product 19,<p>This is a description for Dummy Product 19.</p>,Vendor 1,Type 1,"tag19,sample",TRUE,Size,Small,SKU0019,78,3.38,102.62
dummy-product-20,Dummy Product 20,<p>This is a description for Dummy Product 20.</p>,Vendor 1,Type 1,"tag20,sample",TRUE,Size,Large,SKU0020,76,10.30,102.94
dummy-product-21,Dummy Product 21,<p>This is a description for Dummy Product 21.</p>,Vendor 1,Type 1,"tag21,sample",TRUE,Size,Small,SKU0021,28,93.00,106.85
dummy-product-22,Dummy Product 22,<p>This is a description for Dummy Product 22.</p>,Vendor 1,Type 1,"tag22,sample",TRUE,Size,Large,SKU0022,40,51.20,103.67
dummy-product-23,Dummy Product 23,<p>This is a description for Dummy Product 23.</p>,Vendor 1,Type 1,"tag23,sample",TRUE,Size,Small,SKU0023,20,64.06,106.03
dummy-product-24,Dummy Product 24,<p>This is a description for Dummy Product 24.</p>,Vendor 1,Type 1,"tag24,sample",TRUE,Size,Large,SKU0024,23,18.70,109.45
dummy-product-25,Dummy Product 25,<p>This is a description for Dummy Product 25.</p>,Vendor 1,Type 1,"tag25,sample",TRUE,Size,Small,SKU0025,15,21.90,117.30
dummy-product-26,Dummy Product 26,<p>This is a description for Dummy Product 26.</p>,Vendor 1,Type 1,"tag26,sample",TRUE,Size,Large,SKU0026,79,63.66,110.84
dummy-product-27,Dummy Product 27,<p>This is a description for Dummy Product 27.</p>,Vendor 1,Type 1,"tag27,sample",TRUE,Size,Small,SKU0027,4,92.16,114.42
dummy-product-28,Dummy Product 28,<p>This is a description for Dummy Product 28.</p>,Vendor 1,Type 1,"tag28,sample",TRUE,Size,Large,SKU0028,79,71.27,102.70
dummy-product-29,Dummy Product 29,<p>This is a description for Dummy Product 29.</p>,Vendor 1,Type 1,"tag29,sample",TRUE,Size,Small,SKU0029,40,11.60,109.61
dummy-product-30,Dummy Product 30,<p>This is a description for Dummy Product 30.</p>,Vendor 1,Type 1,"tag30,sample",TRUE,Size,Large,SKU0030,6,27.99,111.30
dummy-product-31,Dummy Product 31,<p>This is a description for Dummy Product 31.</p>,Vendor 1,Type 1,"tag31,sample",TRUE,Size,Small,SKU0031,46,33.96,112.11
dummy-product-32,Dummy Product 32,<p>This is a description for Dummy Product 32.</p>,Vendor 1,Type 1,"tag32,sample",TRUE,Size,Large,SKU0032,60,94.39,114.33
dummy-product-33,Dummy Product 33,<p>This is a description for Dummy Product 33.</p>,Vendor 1,Type 1,"tag33,sample",TRUE,Size,Small,SKU0033,85,71.45,110.79
dummy-product-34,Dummy Product 34,<p>This is a description for Dummy Product 34.</p>,Vendor 1,Type 1,"tag34,sample",TRUE,Size,Large,SKU0034,50,17.07,102.93
dummy-product-35,Dummy Product 35,<p>This is a description for Dummy Product 35.</p>,Vendor 1,Type 1,"tag35,sample",TRUE,Size,Small,SKU0035,15,44.27,100.86
dummy-product-36,Dummy Product 36,<p>This is a description for Dummy Product 36.</p>,Vendor 1,Type 1,"tag36,sample",TRUE,Size,Large,SKU0036,42,91.95,101.14
dummy-product-37,Dummy Product 37,<p>This is a description for Dummy Product 37.</p>,Vendor 1,Type 1,"tag37,sample",TRUE,Size,Small,SKU0037,54,89.13,117.01
dummy-product-38,Dummy Product 38,<p>This is a description for Dummy Product 38.</p>,Vendor 1,Type 1,"tag38,sample",TRUE,Size,Large,SKU0038,76,91.32,105.91
dummy-product-39,Dummy Product 39,<p>This is a description for Dummy Product 39.</p>,Vendor 1,Type 1,"tag39,sample",TRUE,Size,Small,SKU0039,65,64.46,105.34
dummy-product-40,Dummy Product 40,<p>This is a description for Dummy Product 40.</p>,Vendor 1,Type 1,"tag40,sample",TRUE,Size,Large,SKU0040,97,52.01,109.96
dummy-product-41,Dummy Product 41,<p>This is a description for Dummy Product 41.</p>,Vendor 1,Type 1,"tag41,sample",TRUE,Size,Small,SKU0041,76,85.64,113.12
dummy-product-42,Dummy Product 42,<p>This is a description for Dummy Product 42.</p>,Vendor 1,Type 1,"tag42,sample",TRUE,Size,Large,SKU0042,88,19.94,102.28
dummy-product-43,Dummy Product 43,<p>This is a description for Dummy Product 43.</p>,Vendor 1,Type 1,"tag43,sample",TRUE,Size,Small,SKU0043,35,37.12,110.51
dummy-product-44,Dummy Product 44,<p>This is a description for Dummy Product 44.</p>,Vendor 1,Type 1,"tag44,sample",TRUE,Size,Large,SKU0044,81,33.01,104.22
dummy-product-45,Dummy Product 45,<p>This is a description for Dummy Product 45.</p>,Vendor 1,Type 1,"tag45,sample",TRUE,Size,Small,SKU0045,64,47.64,110.65
dummy-product-46,Dummy Product 46,<p>This is a description for Dummy Product 46.</p>,Vendor 1,Type 1,"tag46,sample",TRUE,Size,Large,SKU0046,90,79.32,100.71
dummy-product-47,Dummy Product 47,<p>This is a description for Dummy Product 47.</p>,Vendor 1,Type 1,"tag47,sample",TRUE,Size,Small,SKU0047,67,69.92,102.63
dummy-product-48,Dummy Product 48,<p>This is a description for Dummy Product 48.</p>,Vendor 1,Type 1,"tag48,sample",TRUE,Size,Large,SKU0048,80,50.04,103.08
dummy-product-49,Dummy Product 49,<p>This is a description for Dummy Product 49.</p>,Vendor 1,Type 1,"tag49,sample",TRUE,Size,Small,SKU0049,44,16.12,100.08
dummy-product-50,Dummy Product 50,<p>This is a description for Dummy Product 50.</p>,Vendor 1,Type 1,"tag50,sample",TRUE,Size,Large,SKU0050,85,53.75,110.10
dummy-product-51,Dummy Product 51,<p>This is a description for Dummy Product 51.</p>,Vendor 1,Type 1,"tag51,sample",TRUE,Size,Small,SKU0051,51,34.91,117.74
dummy-product-52,Dummy Product 52,<p>This is a description for Dummy Product 52.</p>,Vendor 1,Type 1,"tag52,sample",TRUE,Size,Large,SKU0052,24,93.18,101.25
dummy-product-53,Dummy Product 53,<p>This is a description for Dummy Product 53.</p>,Vendor 1,Type 1,"tag53,sample",TRUE,Size,Small,SKU0053,70,76.05,113.53
dummy-product-54,Dummy Product 54,<p>This is a description for Dummy Product 54.</p>,Vendor 1,Type 1,"tag54,sample",TRUE,Size,Large,SKU0054,47,78.72,109.17
dummy-product-55,Dummy Product 55,<p>This is a description for Dummy Product 55.</p>,Vendor 1,Type 1,"tag55,sample",TRUE,Size,Small,SKU0055,55,29.17,112.14
dummy-product-56,Dummy Product 56,<p>This is a description for Dummy Product 56.</p>,Vendor 1,Type 1,"tag56,sample",TRUE,Size,Large,SKU0056,12,63.78,100.46
dummy-product-57,Dummy Product 57,<p>This is a description for Dummy Product 57.</p>,Vendor 1,Type 1,"tag57,sample",TRUE,Size,Small,SKU0057,73,9.14,100.15
dummy-product-58,Dummy Product 58,<p>This is a description for Dummy Product 58.</p>,Vendor 1,Type 1,"tag58,sample",TRUE,Size,Large,SKU0058,90,83.89,113.53
dummy-product-59,Dummy Product 59,<p>This is a description for Dummy Product 59.</p>,Vendor 1,Type 1,"tag59,sample",TRUE,Size,Small,SKU0059,40,3.09,118.53
dummy-product-60,Dummy Product 60,<p>This is a description for Dummy Product 60.</p>,Vendor 1,Type 1,"tag60,sample",TRUE,Size,Large,SKU0060,31,8.11,110.67
dummy-product-61,Dummy Product 61,<p>This is a description for Dummy Product 61.</p>,Vendor 1,Type 1,"tag61,sample",TRUE,Size,Small,SKU0061,87,91.11,102.46
dummy-product-62,Dummy Product 62,<p>This is a description for Dummy Product 62.</p>,Vendor 1,Type 1,"tag62,sample",TRUE,Size,Large,SKU0062,40,65.94,112.59
dummy-product-63,Dummy Product 63,<p>This is a description for Dummy Product 63.</p>,Vendor 1,Type 1,"tag63,sample",TRUE,Size,Small,SKU0063,49,78.42,107.70
dummy-product-64,Dummy Product 64,<p>This is a description for Dummy Product 64.</p>,Vendor 1,Type 1,"tag64,sample",TRUE,Size,Large,SKU0064,51,83.83,111.78
dummy-product-65,Dummy Product 65,<p>This is a description for Dummy Product 65.</p>,Vendor 1,Type 1,"tag65,sample",TRUE,Size,Small,SKU0065,71,55.32,104.50
dummy-product-66,Dummy Product 66,<p>This is a description for Dummy Product 66.</p>,Vendor 1,Type 1,"tag66,sample",TRUE,Size,Large,SKU0066,41,14.01,101.12
dummy-product-67,Dummy Product 67,<p>This is a description for Dummy Product 67.</p>,Vendor 1,Type 1,"tag67,sample",TRUE,Size,Small,SKU0067,60,95.29,102.73
dummy-product-68,Dummy Product 68,<p>This is a description for Dummy Product 68.</p>,Vendor 1,Type 1,"tag68,sample",TRUE,Size,Large,SKU0068,33,91.77,119.53
dummy-product-69,Dummy Product 69,<p>This is a description for Dummy Product 69.</p>,Vendor 1,Type 1,"tag69,sample",TRUE,Size,Small,SKU0069,99,13.05,104.90
dummy-product-70,Dummy Product 70,<p>This is a description for Dummy Product 70.</p>,Vendor 1,Type 1,"tag70,sample",TRUE,Size,Large,SKU0070,56,4.46,119.32
dummy-product-71,Dummy Product 71,<p>This is a description for Dummy Product 71.</p>,Vendor 1,Type 1,"tag71,sample",TRUE,Size,Small,SKU0071,87,19.88,114.15
dummy-product-72,Dummy Product 72,<p>This is a description for Dummy Product 72.</p>,Vendor 1,Type 1,"tag72,sample",TRUE,Size,Large,SKU0072,37,51.00,111.47
dummy-product-73,Dummy Product 73,<p>This is a description for Dummy Product 73.</p>,Vendor 1,Type 1,"tag73,sample",TRUE,Size,Small,SKU0073,97,65.04,104.40
dummy-product-74,Dummy Product 74,<p>This is a description for Dummy Product 74.</p>,Vendor 1,Type 1,"tag74,sample",TRUE,Size,Large,SKU0074,46,63.96,107.27
dummy-product-75,Dummy Product 75,<p>This is a description for Dummy Product 75.</p>,Vendor 1,Type 1,"tag75,sample",TRUE,Size,Small,SKU0075,88,41.80,118.42
dummy-product-76,Dummy Product 76,<p>This is a description for Dummy Product 76.</p>,Vendor 1,Type 1,"tag76,sample",TRUE,Size,Large,SKU0076,56,53.15,101.07
dummy-product-77,Dummy Product 77,<p>This is a description for Dummy Product 77.</p>,Vendor 1,Type 1,"tag77,sample",TRUE,Size,Small,SKU0077,63,32.73,108.20
dummy-product-78,Dummy Product 78,<p>This is a description for Dummy Product 78.</p>,Vendor 1,Type 1,"tag78,sample",TRUE,Size,Large,SKU0078,43,64.41,111.74
dummy-product-79,Dummy Product 79,<p>This is a description for Dummy Product 79.</p>,Vendor 1,Type 1,"tag79,sample",TRUE,Size,Small,SKU0079,8,58.17,108.89
dummy-product-80,Dummy Product 80,<p>This is a description for Dummy Product 80.</p>,Vendor 1,Type 1,"tag80,sample",TRUE,Size,Large,SKU0080,19,28.78,111.27
dummy-product-81,Dummy Product 81,<p>This is a description for Dummy Product 81.</p>,Vendor 1,Type 1,"tag81,sample",TRUE,Size,Small,SKU0081,42,83.46,117.42
dummy-product-82,Dummy Product 82,<p>This is a description for Dummy Product 82.</p>,Vendor 1,Type 1,"tag82,sample",TRUE,Size,Large,SKU0082,19,81.94,115.99
dummy-product-83,Dummy Product 83,<p>This is a description for Dummy Product 83.</p>,Vendor 1,Type 1,"tag83,sample",TRUE,Size,Small,SKU0083,14,52.51,104.58
dummy-product-84,Dummy Product 84,<p>This is a description for Dummy Product 84.</p>,Vendor 1,Type 1,"tag84,sample",TRUE,Size,Large,SKU0084,26,93.61,113.59
dummy-product-85,Dummy Product 85,<p>This is a description for Dummy Product 85.</p>,Vendor 1,Type 1,"tag85,sample",TRUE,Size,Small,SKU0085,85,58.98,102.59
dummy-product-86,Dummy Product 86,<p>This is a description for Dummy Product 86.</p>,Vendor 1,Type 1,"tag86,sample",TRUE,Size,Large,SKU0086,65,88.86,103.92
dummy-product-87,Dummy Product 87,<p>This is a description for Dummy Product 87.</p>,Vendor 1,Type 1,"tag87,sample",TRUE,Size,Small,SKU0087,4,80.81,100.67
dummy-product-88,Dummy Product 88,<p>This is a description for Dummy Product 88.</p>,Vendor 1,Type 1,"tag88,sample",TRUE,Size,Large,SKU0088,82,96.83,115.29
dummy-product-89,Dummy Product 89,<p>This is a description for Dummy Product 89.</p>,Vendor 1,Type 1,"tag89,sample",TRUE,Size,Small,SKU0089,30,14.07,103.80
dummy-product-90,Dummy Product 90,<p>This is a description for Dummy Product 90.</p>,Vendor 1,Type 1,"tag90,sample",TRUE,Size,Large,SKU0090,84,19.80,110.03
dummy-product-91,Dummy Product 91,<p>This is a description for Dummy Product 91.</p>,Vendor 1,Type 1,"tag91,sample",TRUE,Size,Small,SKU0091,81,63.73,104.86
dummy-product-92,Dummy Product 92,<p>This is a description for Dummy Product 92.</p>,Vendor 1,Type 1,"tag92,sample",TRUE,Size,Large,SKU0092,63,33.96,114.45
dummy-product-93,Dummy Product 93,<p>This is a description for Dummy Product 93.</p>,Vendor 1,Type 1,"tag93,sample",TRUE,Size,Small,SKU0093,47,47.90,102.56
dummy-product-94,Dummy Product 94,<p>This is a description for Dummy Product 94.</p>,Vendor 1,Type 1,"tag94,sample",TRUE,Size,Large,SKU0094,13,95.90,109.66
dummy-product-95,Dummy Product 95,<p>This is a description for Dummy Product 95.</p>,Vendor 1,Type 1,"tag95,sample",TRUE,Size,Small,SKU0095,97,40.26,116.57
dummy-product-96,Dummy Product 96,<p>This is a description for Dummy Product 96.</p>,Vendor 1,Type 1,"tag96,sample",TRUE,Size,Large,SKU0096,55,39.00,113.68
dummy-product-97,Dummy Product 97,<p>This is a description for Dummy Product 97.</p>,Vendor 1,Type 1,"tag97,sample",TRUE,Size,Small,SKU0097,81,56.60,111.95
dummy-product-98,Dummy Product 98,<p>This is a description for Dummy Product 98.</p>,Vendor 1,Type 1,"tag98,sample",TRUE,Size,Large,SKU0098,62,42.22,112.82
dummy-product-99,Dummy Product 99,<p>This is a description for Dummy Product 99.</p>,Vendor 1,Type 1,"tag99,sample",TRUE,Size,Small,SKU0099,15,20.01,108.61
dummy-product-100,Dummy Product 100,<p>This is a description for Dummy Product 100.</p>,Vendor 1,Type 1,"tag100,sample",TRUE,Size,Large,SKU0100,84,99.67,109.82
dummy-product-101,Dummy Product 101,<p>This is a description for Dummy Product 101.</p>,Vendor 2,Type 1,"tag101,sample",TRUE,Size,Small,SKU0101,32,47.92,100.47
dummy-product-102,Dummy Product 102,<p>This is a description for Dummy Product 102.</p>,Vendor 2,Type 1,"tag102,sample",TRUE,Size,Large,SKU0102,37,89.82,101.58
dummy-product-103,Dummy Product 103,<p>This is a description for Dummy Product 103.</p>,Vendor 2,Type 1,"tag103,sample",TRUE,Size,Small,SKU0103,16,82.10,106.30
dummy-product-104,Dummy Product 104,<p>This is a description for Dummy Product 104.</p>,Vendor 2,Type 1,"tag104,sample",TRUE,Size,Large,SKU0104,27,19.36,114.24
dummy-product-105,Dummy Product 105,<p>This is a description for Dummy Product 105.</p>,Vendor 2,Type 1,"tag105,sample",TRUE,Size,Small,SKU0105,16,79.39,117.46
dummy-product-106,Dummy Product 106,<p>This is a description for Dummy Product 106.</p>,Vendor 2,Type 1,"tag106,sample",TRUE,Size,Large,SKU0106,73,99.14,119.09
dummy-product-107,Dummy Product 107,<p>This is a description for Dummy Product 107.</p>,Vendor 2,Type 1,"tag107,sample",TRUE,Size,Small,SKU0107,93,34.19,109.65
dummy-product-108,Dummy Product 108,<p>This is a description for Dummy Product 108.</p>,Vendor 2,Type 1,"tag108,sample",TRUE,Size,Large,SKU0108,40,67.85,109.56
dummy-product-109,Dummy Product 109,<p>This is a description for Dummy Product 109.</p>,Vendor 2,Type 1,"tag109,sample",TRUE,Size,Small,SKU0109,17,78.32,114.96
dummy-product-110,Dummy Product 110,<p>This is a description for Dummy Product 110.</p>,Vendor 2,Type 1,"tag110,sample",TRUE,Size,Large,SKU0110,38,62.35,112.16
dummy-product-111,Dummy Product 111,<p>This is a description for Dummy Product 111.</p>,Vendor 2,Type 1,"tag111,sample",TRUE,Size,Small,SKU0111,55,45.41,113.15
dummy-product-112,Dummy Product 112,<p>This is a description for Dummy Product 112.</p>,Vendor 2,Type 1,"tag112,sample",TRUE,Size,Large,SKU0112,49,85.60,116.00
dummy-product-113,Dummy Product 113,<p>This is a description for Dummy Product 113.</p>,Vendor 2,Type 1,"tag113,sample",TRUE,Size,Small,SKU0113,89,60.12,111.90
dummy-product-114,Dummy Product 114,<p>This is a description for Dummy Product 114.</p>,Vendor 2,Type 1,"tag114,sample",TRUE,Size,Large,SKU0114,3,71.44,103.21
dummy-product-115,Dummy Product 115,<p>This is a description for Dummy Product 115.</p>,Vendor 2,Type 1,"tag115,sample",TRUE,Size,Small,SKU0115,80,41.20,116.90
dummy-product-116,Dummy Product 116,<p>This is a description for Dummy Product 116.</p>,Vendor 2,Type 1,"tag116,sample",TRUE,Size,Large,SKU0116,71,71.40,118.18
dummy-product-117,Dummy Product 117,<p>This is a description for Dummy Product 117.</p>,Vendor 2,Type 1,"tag117,sample",TRUE,Size,Small,SKU0117,77,72.67,108.38
dummy-product-118,Dummy Product 118,<p>This is a description for Dummy Product 118.</p>,Vendor 2,Type 1,"tag118,sample",TRUE,Size,Large,SKU0118,41,38.90,104.29
dummy-product-119,Dummy Product 119,<p>This is a description for Dummy Product 119.</p>,Vendor 2,Type 1,"tag119,sample",TRUE,Size,Small,SKU0119,27,14.28,103.08
dummy-product-120,Dummy Product 120,<p>This is a description for Dummy Product 120.</p>,Vendor 2,Type 1,"tag120,sample",TRUE,Size,Large,SKU0120,56,93.71,102.41
dummy-product-121,Dummy Product 121,<p>This is a description for Dummy Product 121.</p>,Vendor 2,Type 1,"tag121,sample",TRUE,Size,Small,SKU0121,81,28.17,104.54
dummy-product-122,Dummy Product 122,<p>This is a description for Dummy Product 122.</p>,Vendor 2,Type 1,"tag122,sample",TRUE,Size,Large,SKU0122,24,84.41,119.59
dummy-product-123,Dummy Product 123,<p>This is a description for Dummy Product 123.</p>,Vendor 2,Type 1,"tag123,sample",TRUE,Size,Small,SKU0123,70,52.00,106.97
dummy-product-124,Dummy Product 124,<p>This is a description for Dummy Product 124.</p>,Vendor 2,Type 1,"tag124,sample",TRUE,Size,Large,SKU0124,57,10.39,105.65
dummy-product-125,Dummy Product 125,<p>This is a description for Dummy Product 125.</p>,Vendor 2,Type 1,"tag125,sample",TRUE,Size,Small,SKU0125,77,91.16,113.94
dummy-product-126,Dummy Product 126,<p>This is a description for Dummy Product 126.</p>,Vendor 2,Type 1,"tag126,sample",TRUE,Size,Large,SKU0126,42,89.20,110.35
dummy-product-127,Dummy Product 127,<p>This is a description for Dummy Product 127.</p>,Vendor 2,Type 1,"tag127,sample",TRUE,Size,Small,SKU0127,16,80.72,119.10
dummy-product-128,Dummy Product 128,<p>This is a description for Dummy Product 128.</p>,Vendor 2,Type 1,"tag128,sample",TRUE,Size,Large,SKU0128,57,93.25,106.47
dummy-product-129,Dummy Product 129,<p>This is a description for Dummy Product 129.</p>,Vendor 2,Type 1,"tag129,sample",TRUE,Size,Small,SKU0129,40,65.53,113.47
dummy-product-130,Dummy Product 130,<p>This is a description for Dummy Product 130.</p>,Vendor 2,Type 1,"tag130,sample",TRUE,Size,Large,SKU0130,53,63.38,108.29
dummy-product-131,Dummy Product 131,<p>This is a description for Dummy Product 131.</p>,Vendor 2,Type 1,"tag131,sample",TRUE,Size,Small,SKU0131,94,48.64,102.42
dummy-product-132,Dummy Product 132,<p>This is a description for Dummy Product 132.</p>,Vendor 2,Type 1,"tag132,sample",TRUE,Size,Large,SKU0132,31,42.16,104.99
dummy-product-133,Dummy Product 133,<p>This is a description for Dummy Product 133.</p>,Vendor 2,Type 1,"tag133,sample",TRUE,Size,Small,SKU0133,86,49.08,104.09
dummy-product-134,Dummy Product 134,<p>This is a description for Dummy Product 134.</p>,Vendor 2,Type 1,"tag134,sample",TRUE,Size,Large,SKU0134,19,70.44,108.99
dummy-product-135,Dummy Product 135,<p>This is a description for Dummy Product 135.</p>,Vendor 2,Type 1,"tag135,sample",TRUE,Size,Small,SKU0135,13,53.83,107.87
dummy-product-136,Dummy Product 136,<p>This is a description for Dummy Product 136.</p>,Vendor 2,Type 1,"tag136,sample",TRUE,Size,Large,SKU0136,56,51.34,116.96
dummy-product-137,Dummy Product 137,<p>This is a description for Dummy Product 137.</p>,Vendor 2,Type 1,"tag137,sample",TRUE,Size,Small,SKU0137,9,4.96,106.39
dummy-product-138,Dummy Product 138,<p>This is a description for Dummy Product 138.</p>,Vendor 2,Type 1,"tag138,sample",TRUE,Size,Large,SKU0138,11,93.33,115.88
dummy-product-139,Dummy Product 139,<p>This is a description for Dummy Product 139.</p>,Vendor 2,Type 1,"tag139,sample",TRUE,Size,Small,SKU0139,10,37.07,109.55
dummy-product-140,Dummy Product 140,<p>This is a description for Dummy Product 140.</p>,Vendor 2,Type 1,"tag140,sample",TRUE,Size,Large,SKU0140,61,3.57,111.50
dummy-product-141,Dummy Product 141,<p>This is a description for Dummy Product 141.</p>,Vendor 2,Type 1,"tag141,sample",TRUE,Size,Small,SKU0141,20,85.35,111.51
dummy-product-142,Dummy Product 142,<p>This is a description for Dummy Product 142.</p>,Vendor 2,Type 1,"tag142,sample",TRUE,Size,Large,SKU0142,91,80.35,115.35
dummy-product-143,Dummy Product 143,<p>This is a description for Dummy Product 143.</p>,Vendor 2,Type 1,"tag143,sample",TRUE,Size,Small,SKU0143,39,57.33,119.21
dummy-product-144,Dummy Product 144,<p>This is a description for Dummy Product 144.</p>,Vendor 2,Type 1,"tag144,sample",TRUE,Size,Large,SKU0144,42,88.86,117.96
dummy-product-145,Dummy Product 145,<p>This is a description for Dummy Product 145.</p>,Vendor 2,Type 1,"tag145,sample",TRUE,Size,Small,SKU0145,56,97.81,114.94
dummy-product-146,Dummy Product 146,<p>This is a description for Dummy Product 146.</p>,Vendor 2,Type 1,"tag146,sample",TRUE,Size,Large,SKU0146,5,28.34,101.87
dummy-product-147,Dummy Product 147,<p>This is a description for Dummy Product 147.</p>,Vendor 2,Type 1,"tag147,sample",TRUE,Size,Small,SKU0147,16,70.46,110.02
dummy-product-148,Dummy Product 148,<p>This is a description for Dummy Product 148.</p>,Vendor 2,Type 1,"tag148,sample",TRUE,Size,Large,SKU0148,85,50.03,100.46
dummy-product-149,Dummy Product 149,<p>This is a description for Dummy Product 149.</p>,Vendor 2,Type 1,"tag149,sample",TRUE,Size,Small,SKU0149,74,91.88,113.41
dummy-product-150,Dummy Product 150,<p>This is a description for Dummy Product 150.</p>,Vendor 2,Type 1,"tag150,sample",TRUE,Size,Large,SKU0150,54,80.15,114.78
dummy-product-151,Dummy Product 151,<p>This is a description for Dummy Product 151.</p>,Vendor 2,Type 1,"tag151,sample",TRUE,Size,Small,SKU0151,61,21.93,106.67
dummy-product-152,Dummy Product 152,<p>This is a description for Dummy Product 152.</p>,Vendor 2,Type 1,"tag152,sample",TRUE,Size,Large,SKU0152,91,11.16,104.62
dummy-product-153,Dummy Product 153,<p>This is a description for Dummy Product 153.</p>,Vendor 2,Type 1,"tag153,sample",TRUE,Size,Small,SKU0153,85,44.45,110.39
dummy-product-154,Dummy Product 154,<p>This is a description for Dummy Product 154.</p>,Vendor 2,Type 1,"tag154,sample",TRUE,Size,Large,SKU0154,75,1.72,104.19
dummy-product-155,Dummy Product 155,<p>This is a description for Dummy Product 155.</p>,Vendor 2,Type 1,"tag155,sample",TRUE,Size,Small,SKU0155,97,32.22,109.58
dummy-product-156,Dummy Product 156,<p>This is a description for Dummy Product 156.</p>,Vendor 2,Type 1,"tag156,sample",TRUE,Size,Large,SKU0156,14,44.95,107.63
dummy-product-157,Dummy Product 157,<p>This is a description for Dummy Product 157.</p>,Vendor 2,Type 1,"tag157,sample",TRUE,Size,Small,SKU0157,37,35.95,115.69
dummy-product-158,Dummy Product 158,<p>This is a description for Dummy Product 158.</p>,Vendor 2,Type 1,"tag158,sample",TRUE,Size,Large,SKU0158,85,97.15,117.40
dummy-product-159,Dummy Product 159,<p>This is a description for Dummy Product 159.</p>,Vendor 2,Type 1,"tag159,sample",TRUE,Size,Small,SKU0159,36,76.16,115.00
dummy-product-160,Dummy Product 160,<p>This is a description for Dummy Product 160.</p>,Vendor 2,Type 1,"tag160,sample",TRUE,Size,Large,SKU0160,26,41.42,111.34
dummy-product-161,Dummy Product 161,<p>This is a description for Dummy Product 161.</p>,Vendor 2,Type 1,"tag161,sample",TRUE,Size,Small,SKU0161,2,70.98,106.74
dummy-product-162,Dummy Product 162,<p>This is a description for Dummy Product 162.</p>,Vendor 2,Type 1,"tag162,sample",TRUE,Size,Large,SKU0162,41,33.70,113.77
